season,round,driver_id,driver_name,official_dk_points,source
2026,21,aj_allmendinger,A.J. Allmendinger,2,DraftKings contest standings 192241510
2026,21,alex_bowman,Alex Bowman,15.9,DraftKings contest standings 192241510
2026,21,austin_cindric,Austin Cindric,30.35,DraftKings contest standings 192241510
2026,21,austin_dillon,Austin Dillon,17.9,DraftKings contest standings 192241510
2026,21,austin_hill,Austin Hill,8.9,DraftKings contest standings 192241510
2026,21,brad_keselowski,Brad Keselowski,55.2,DraftKings contest standings 192241510
2026,21,bubba_wallace,Bubba Wallace,64.5,DraftKings contest standings 192241510
2026,21,carson_hocevar,Carson Hocevar,26.4,DraftKings contest standings 192241510
2026,21,chad_finchum,Chad Finchum,8,DraftKings contest standings 192241510
2026,21,chase_briscoe,Chase Briscoe,80.05,DraftKings contest standings 192241510
2026,21,chase_elliott,Chase Elliott,35.2,DraftKings contest standings 192241510
2026,21,chris_buescher,Chris Buescher,15.6,DraftKings contest standings 192241510
2026,21,christopher_bell,Christopher Bell,17.9,DraftKings contest standings 192241510
2026,21,cody_ware,Cody Ware,20,DraftKings contest standings 192241510
2026,21,cole_custer,Cole Custer,6.9,DraftKings contest standings 192241510
2026,21,connor_zilisch,Connor Zilisch,19.8,DraftKings contest standings 192241510
2026,21,daniel_suarez,Daniel Suarez,45.05,DraftKings contest standings 192241510
2026,21,denny_hamlin,Denny Hamlin,64.55,DraftKings contest standings 192241510
2026,21,erik_jones,Erik Jones,6.9,DraftKings contest standings 192241510
2026,21,joey_logano,Joey Logano,180.75,DraftKings contest standings 192241510
2026,21,john_hunter_nemechek,John Hunter Nemechek,-2,DraftKings contest standings 192241510
2026,21,josh_berry,Josh Berry,-3,DraftKings contest standings 192241510
2026,21,kyle_larson,Kyle Larson,44.05,DraftKings contest standings 192241510
2026,21,michael_mcdowell,Michael McDowell,10,DraftKings contest standings 192241510
2026,21,noah_gragson,Noah Gragson,26.6,DraftKings contest standings 192241510
2026,21,ricky_stenhouse_jr,Ricky Stenhouse Jr.,-1.65,DraftKings contest standings 192241510
2026,21,riley_herbst,Riley Herbst,41.45,DraftKings contest standings 192241510
2026,21,ross_chastain,Ross Chastain,3.25,DraftKings contest standings 192241510
2026,21,ryan_blaney,Ryan Blaney,23.6,DraftKings contest standings 192241510
2026,21,ryan_preece,Ryan Preece,45,DraftKings contest standings 192241510
2026,21,shane_van_gisbergen,Shane van Gisbergen,61,DraftKings contest standings 192241510
2026,21,todd_gilliland,Todd Gilliland,46.9,DraftKings contest standings 192241510
2026,21,ty_dillon,Ty Dillon,33.45,DraftKings contest standings 192241510
2026,21,ty_gibbs,Ty Gibbs,60.55,DraftKings contest standings 192241510
2026,21,tyler_reddick,Tyler Reddick,-7.15,DraftKings contest standings 192241510
2026,21,william_byron,William Byron,37.6,DraftKings contest standings 192241510
2026,21,zane_smith,Zane Smith,27.45,DraftKings contest standings 192241510
